P_0030,P_3000,P_3045,P_4530,P_4560,P_6045,P_6090,P_9060,S_0030,S_3000,S_3045,S_4530,S_4560,S_6045,S_6090,S_9060,idx
0.1922111111111111,0.1902111111111111,0.06673333333333334,0.06752222222222222,0.04802222222222222,0.041,0.061533333333333336,0.06013333333333333,17299.0,17119.0,6006.0,6077.0,4322.0,3690.0,5538.0,5412.0,23
0.18976666666666667,0.1993111111111111,0.07263333333333333,0.08072222222222222,0.04801111111111111,0.04864444444444444,0.060444444444444446,0.061177777777777775,17079.0,17938.0,6537.0,7265.0,4321.0,4378.0,5440.0,5506.0,24
0.19377777777777777,0.18326666666666666,0.06854444444444445,0.07813333333333333,0.046844444444444445,0.04858888888888889,0.05446666666666666,0.06168888888888889,17440.0,16494.0,6169.0,7032.0,4216.0,4373.0,4902.0,5552.0,25
0.19747777777777778,0.18054444444444445,0.07513333333333333,0.0813,0.04487777777777778,0.046011111111111114,0.049077777777777776,0.05878888888888889,17773.0,16249.0,6762.0,7317.0,4039.0,4141.0,4417.0,5291.0,26
0.20235555555555557,0.21533333333333332,0.07203333333333334,0.07675555555555555,0.035222222222222224,0.06087777777777778,0.050777777777777776,0.04948888888888889,18212.0,19380.0,6483.0,6908.0,3170.0,5479.0,4570.0,4454.0,27
0.22226666666666667,0.1887,0.07534444444444445,0.06915555555555555,0.057022222222222224,0.055488888888888886,0.04,0.04137777777777778,20004.0,16983.0,6781.0,6224.0,5132.0,4994.0,3600.0,3724.0,28
0.209,0.18095555555555556,0.09223333333333333,0.05605555555555555,0.04982222222222222,0.03188888888888889,0.040355555555555554,0.05772222222222222,18810.0,16286.0,8301.0,5045.0,4484.0,2870.0,3632.0,5195.0,29
0.21517777777777777,0.21275555555555556,0.0802,0.07081111111111112,0.04501111111111111,0.04783333333333333,0.04211111111111111,0.047466666666666664,19366.0,19148.0,7218.0,6373.0,4051.0,4305.0,3790.0,4272.0,30
0.20455555555555555,0.20276666666666668,0.07484444444444445,0.0721,0.03957777777777778,0.044677777777777775,0.06058888888888889,0.04934444444444445,18410.0,18249.0,6736.0,6489.0,3562.0,4021.0,5453.0,4441.0,31
0.2187111111111111,0.20994444444444443,0.07247777777777778,0.0661111111111111,0.042022222222222225,0.03755555555555556,0.05082222222222222,0.05322222222222222,19684.0,18895.0,6523.0,5950.0,3782.0,3380.0,4574.0,4790.0,32
0.18682222222222222,0.18794444444444444,0.08237777777777777,0.06483333333333334,0.04565555555555555,0.034466666666666666,0.06657777777777778,0.054966666666666664,16814.0,16915.0,7414.0,5835.0,4109.0,3102.0,5992.0,4947.0,33
0.21623333333333333,0.21001111111111112,0.06457777777777778,0.0774,0.04664444444444445,0.041433333333333336,0.0537,0.044566666666666664,19461.0,18901.0,5812.0,6966.0,4198.0,3729.0,4833.0,4011.0,34
0.1859222222222222,0.208,0.07436666666666666,0.07883333333333334,0.04727777777777778,0.05263333333333333,0.053422222222222225,0.03808888888888889,16733.0,18720.0,6693.0,7095.0,4255.0,4737.0,4808.0,3428.0,35
0.2136222222222222,0.20872222222222223,0.08008888888888889,0.07098888888888889,0.037622222222222224,0.039266666666666665,0.053733333333333334,0.04744444444444444,19226.0,18785.0,7208.0,6389.0,3386.0,3534.0,4836.0,4270.0,36
0.2047,0.20994444444444443,0.07582222222222222,0.07222222222222222,0.05198888888888889,0.044477777777777776,0.04767777777777778,0.055966666666666665,18423.0,18895.0,6824.0,6500.0,4679.0,4003.0,4291.0,5037.0,37
0.2006777777777778,0.2111111111111111,0.06918888888888888,0.06255555555555556,0.05341111111111111,0.042277777777777775,0.0493,0.060033333333333334,18061.0,19000.0,6227.0,5630.0,4807.0,3805.0,4437.0,5403.0,38
0.19887777777777776,0.20083333333333334,0.0732,0.06432222222222223,0.055211111111111114,0.04407777777777778,0.06861111111111111,0.046955555555555556,17899.0,18075.0,6588.0,5789.0,4969.0,3967.0,6175.0,4226.0,39
0.18244444444444444,0.19736666666666666,0.06812222222222222,0.08426666666666667,0.05065555555555556,0.05234444444444444,0.047844444444444446,0.05106666666666667,16420.0,17763.0,6131.0,7584.0,4559.0,4711.0,4306.0,4596.0,40
0.2083111111111111,0.18806666666666666,0.06743333333333333,0.07376666666666666,0.05025555555555555,0.046844444444444445,0.05553333333333333,0.05237777777777778,18748.0,16926.0,6069.0,6639.0,4523.0,4216.0,4998.0,4714.0,41
0.2023,0.19923333333333335,0.0737,0.0661111111111111,0.041322222222222225,0.0559,0.057866666666666663,0.06013333333333333,18207.0,17931.0,6633.0,5950.0,3719.0,5031.0,5208.0,5412.0,42
0.22037777777777778,0.18631111111111112,0.08904444444444444,0.0671888888888889,0.05348888888888889,0.03497777777777778,0.05402222222222222,0.046066666666666665,19834.0,16768.0,8014.0,6047.0,4814.0,3148.0,4862.0,4146.0,43
0.21762222222222222,0.19717777777777779,0.06871111111111111,0.06747777777777778,0.04042222222222222,0.056822222222222225,0.0401,0.059255555555555554,19586.0,17746.0,6184.0,6073.0,3638.0,5114.0,3609.0,5333.0,44
0.1887111111111111,0.1913111111111111,0.06804444444444445,0.07084444444444445,0.042522222222222225,0.05706666666666667,0.0512,0.0636111111111111,16984.0,17218.0,6124.0,6376.0,3827.0,5136.0,4608.0,5725.0,45
0.1879222222222222,0.18572222222222223,0.07128888888888889,0.06922222222222223,0.05411111111111111,0.04423333333333333,0.05561111111111111,0.06418888888888889,16913.0,16715.0,6416.0,6230.0,4870.0,3981.0,5005.0,5777.0,46
0.19167777777777778,0.19767777777777779,0.05263333333333333,0.09153333333333333,0.039966666666666664,0.04598888888888889,0.06186666666666667,0.05224444444444445,17251.0,17791.0,4737.0,8238.0,3597.0,4139.0,5568.0,4702.0,47
0.1978888888888889,0.1912888888888889,0.06621111111111111,0.0840888888888889,0.04998888888888889,0.04717777777777778,0.05775555555555555,0.054955555555555556,17810.0,17216.0,5959.0,7568.0,4499.0,4246.0,5198.0,4946.0,48
0.1887111111111111,0.18408888888888889,0.07923333333333334,0.07775555555555555,0.036566666666666664,0.04594444444444445,0.05711111111111111,0.05811111111111111,16984.0,16568.0,7131.0,6998.0,3291.0,4135.0,5140.0,5230.0,49
0.19512222222222222,0.2025888888888889,0.08405555555555555,0.07044444444444445,0.052177777777777774,0.048244444444444444,0.049411111111111114,0.04164444444444444,17561.0,18233.0,7565.0,6340.0,4696.0,4342.0,4447.0,3748.0,50
0.17554444444444445,0.1797888888888889,0.07288888888888889,0.07284444444444445,0.05117777777777778,0.04401111111111111,0.0665,0.049522222222222224,15799.0,16181.0,6560.0,6556.0,4606.0,3961.0,5985.0,4457.0,51
0.2028888888888889,0.2089,0.07195555555555555,0.0618,0.045566666666666665,0.052333333333333336,0.05471111111111111,0.05841111111111111,18260.0,18801.0,6476.0,5562.0,4101.0,4710.0,4924.0,5257.0,52
